,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,OU_O05,OU_U05,OU_O15,OU_U15,OU_O25,OU_U25,BTTS_Yes,BTTS_No,season_id,match_id,saison,nom_compétition,pays
103526,2012-10-04 02:00:00,Monterrey,Tijuana,1,1,D,0,1,A,1.86,3.52,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86059,2012,Mexico Liga MX,Mexico
103527,2012-10-05 01:00:00,Morelia,Chiapas,1,1,D,1,1,D,2.06,3.46,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86060,2012,Mexico Liga MX,Mexico
103528,2012-10-06 22:05:00,América,Guadalajara,1,3,A,1,1,D,1.9,3.61,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86061,2012,Mexico Liga MX,Mexico
103531,2012-10-07 00:00:00,Tigres UANL,Puebla,1,2,A,1,0,H,1.59,4.13,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86064,2012,Mexico Liga MX,Mexico
103530,2012-10-07 00:00:00,Pachuca,León,1,1,D,0,1,A,2.73,3.52,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86063,2012,Mexico Liga MX,Mexico
103529,2012-10-07 00:00:00,Querétaro,Santos Laguna,1,1,D,0,1,A,3.88,3.58,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86062,2012,Mexico Liga MX,Mexico
103532,2012-10-07 02:00:00,Atlas,Cruz Azul,1,1,D,1,0,H,2.81,3.21,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86065,2012,Mexico Liga MX,Mexico
103533,2012-10-07 17:00:00,Pumas UNAM,Monterrey,3,2,H,2,1,H,2.41,3.31,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86066,2012,Mexico Liga MX,Mexico
103534,2012-10-07 22:00:00,Chiapas,San Luis,4,0,H,2,0,H,2.0,3.44,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86067,2012,Mexico Liga MX,Mexico
103535,2012-10-07 23:00:00,Atlante,Morelia,2,2,D,2,0,H,2.78,3.35,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86068,2012,Mexico Liga MX,Mexico
103536,2012-10-08 01:00:00,Tijuana,Toluca,1,0,H,0,0,D,2.78,3.35,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86069,2012,Mexico Liga MX,Mexico
103537,2012-10-13 22:00:00,Cruz Azul,Querétaro,3,2,H,2,1,H,1.38,4.91,9.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86070,2012,Mexico Liga MX,Mexico
103538,2012-10-14 00:00:00,Santos Laguna,Tijuana,2,2,D,1,1,D,2.23,3.51,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86071,2012,Mexico Liga MX,Mexico
103539,2012-10-14 00:00:00,San Luis,Atlante,2,2,D,1,0,H,2.66,3.34,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86072,2012,Mexico Liga MX,Mexico
103540,2012-10-14 00:05:00,León,Tigres UANL,2,0,H,2,0,H,1.77,3.71,5.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86073,2012,Mexico Liga MX,Mexico
103541,2012-10-14 17:00:00,Pumas UNAM,Pachuca,1,0,H,0,0,D,2.0,3.46,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86074,2012,Mexico Liga MX,Mexico
103542,2012-10-14 22:00:00,Guadalajara,Chiapas,1,1,D,1,0,H,2.02,3.4,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86075,2012,Mexico Liga MX,Mexico
103543,2012-10-20 00:30:00,Chiapas,Puebla,2,0,H,0,0,D,1.81,3.72,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86076,2012,Mexico Liga MX,Mexico
103544,2012-10-20 02:36:00,Tijuana,Cruz Azul,2,2,D,1,1,D,2.15,3.43,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86077,2012,Mexico Liga MX,Mexico
103545,2012-10-20 22:00:00,América,León,2,1,H,0,0,D,2.4,3.48,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86078,2012,Mexico Liga MX,Mexico
103546,2012-10-20 22:00:00,Querétaro,Morelia,1,2,A,0,0,D,4.53,3.78,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86079,2012,Mexico Liga MX,Mexico
103548,2012-10-21 00:00:00,Pachuca,Monterrey,1,1,D,0,1,A,2.48,3.47,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86081,2012,Mexico Liga MX,Mexico
103549,2012-10-21 02:00:00,Atlas,San Luis,2,3,A,1,0,H,2.0,3.48,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86082,2012,Mexico Liga MX,Mexico
103550,2012-10-21 17:00:00,Toluca,Santos Laguna,4,1,H,2,0,H,2.0,3.66,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86083,2012,Mexico Liga MX,Mexico
103551,2012-10-21 23:00:00,Atlante,Guadalajara,3,1,H,3,0,H,2.52,3.37,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86084,2012,Mexico Liga MX,Mexico
103552,2012-10-24 01:30:00,Morelia,Atlas,2,0,H,1,0,H,1.69,3.73,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86085,2012,Mexico Liga MX,Mexico
103553,2012-10-26 02:00:00,Puebla,América,0,1,A,0,1,A,3.72,3.47,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86086,2012,Mexico Liga MX,Mexico
103554,2012-10-27 02:35:00,León,Chiapas,4,1,H,2,1,H,1.69,3.89,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86087,2012,Mexico Liga MX,Mexico
103555,2012-10-27 22:00:00,Cruz Azul,Toluca,3,0,H,2,0,H,2.16,3.43,3.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86088,2012,Mexico Liga MX,Mexico
103556,2012-10-27 22:00:00,San Luis,Querétaro,0,0,D,0,0,D,1.69,3.88,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86089,2012,Mexico Liga MX,Mexico
103559,2012-10-28 01:00:00,Pachuca,Tigres UANL,1,0,H,0,0,D,2.68,3.25,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86092,2012,Mexico Liga MX,Mexico
103558,2012-10-28 01:00:00,Monterrey,Santos Laguna,3,2,H,1,1,D,1.89,3.76,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86091,2012,Mexico Liga MX,Mexico
103557,2012-10-28 01:00:00,Morelia,Tijuana,1,1,D,1,1,D,2.14,3.43,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86090,2012,Mexico Liga MX,Mexico
103560,2012-10-28 18:00:00,Puebla,Atlante,1,2,A,0,1,A,2.5,3.36,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,86093,2012,Mexico Liga MX,Mexico
