,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
1174,bundesliga_2,2022,2022-08-06,Hansa Rostock,Arminia Bielefeld,2,1,1,1,H
1175,bundesliga_2,2022,2022-08-07,FC Magdeburg,Holstein Kiel,1,2,1,0,A
1176,bundesliga_2,2022,2022-08-07,Eintracht Braunschweig,SV Darmstadt 98,0,1,0,0,A
1177,bundesliga_2,2022,2022-08-07,FC Kaiserslautern,FC St. Pauli,2,1,1,1,H
1178,bundesliga_2,2022,2022-08-12,FC Nurnberg,FC Heidenheim,0,3,0,0,A
1179,bundesliga_2,2022,2022-08-12,FC Kaiserslautern,SC Paderborn 07,0,1,0,0,A
1180,bundesliga_2,2022,2022-08-13,Arminia Bielefeld,Hamburger SV,0,2,0,0,A
1181,bundesliga_2,2022,2022-08-13,Holstein Kiel,Eintracht Braunschweig,3,0,1,2,H
1182,bundesliga_2,2022,2022-08-13,Karlsruher SC,SV Sandhausen,3,2,1,2,H
1183,bundesliga_2,2022,2022-08-13,SV Darmstadt 98,Hansa Rostock,4,0,2,2,H
1184,bundesliga_2,2022,2022-08-14,Fortuna Dusseldorf,SpVgg Greuther Furth,2,2,0,2,D
1185,bundesliga_2,2022,2022-08-14,Hannover 96,Jahn Regensburg,1,0,0,1,H
1186,bundesliga_2,2022,2022-08-14,FC St. Pauli,FC Magdeburg,3,0,2,1,H
1187,bundesliga_2,2022,2022-08-19,Hamburger SV,SV Darmstadt 98,1,2,0,1,A
1188,bundesliga_2,2022,2022-08-19,FC Magdeburg,Hannover 96,0,4,0,0,A
1189,bundesliga_2,2022,2022-08-20,Jahn Regensburg,Karlsruher SC,0,6,0,0,A
1190,bundesliga_2,2022,2022-08-20,SC Paderborn 07,Holstein Kiel,7,2,5,2,H
1191,bundesliga_2,2022,2022-08-20,SV Sandhausen,FC Nurnberg,1,2,1,0,A
1192,bundesliga_2,2022,2022-08-20,Eintracht Braunschweig,Fortuna Dusseldorf,2,2,0,2,D
1193,bundesliga_2,2022,2022-08-21,SpVgg Greuther Furth,FC Kaiserslautern,1,3,1,0,A
