,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
312,2025-04-12,Inter,Cagliari,3,1,H,2,1
313,2025-04-12,Juventus,Lecce,2,1,H,2,0
314,2025-04-13,Atalanta,Bologna,2,0,H,2,0
315,2025-04-13,Fiorentina,Parma,0,0,D,0,0
316,2025-04-13,Verona,Genoa,0,0,D,0,0
317,2025-04-13,Como,Torino,1,0,H,1,0
318,2025-04-13,Lazio,AS Roma,1,1,D,0,1
319,2025-04-14,Napoli,Empoli,3,0,H,1,2
320,2025-04-19,Lecce,Como,0,3,A,0,0
321,2025-04-19,Monza,Napoli,0,1,A,0,0
322,2025-04-19,AS Roma,Verona,1,0,H,1,0
323,2025-04-20,Empoli,Venezia,2,2,D,0,2
324,2025-04-20,Bologna,Inter,1,0,H,0,1
325,2025-04-20,AC Milan,Atalanta,0,1,A,0,0
326,2025-04-23,Cagliari,Fiorentina,1,2,A,1,0
327,2025-04-23,Genoa,Lazio,0,2,A,0,0
328,2025-04-23,Torino,Udinese,2,0,H,1,1
329,2025-04-23,Parma,Juventus,1,0,H,1,0
330,2025-04-27,Venezia,AC Milan,0,2,A,0,0
331,2025-04-27,Como,Genoa,1,0,H,0,1
332,2025-04-27,Fiorentina,Empoli,2,1,H,2,0
333,2025-04-27,Inter,AS Roma,0,1,A,0,0
334,2025-04-27,Juventus,Monza,2,0,H,2,0
335,2025-04-27,Napoli,Torino,2,0,H,2,0
336,2025-04-27,Atalanta,Lecce,1,1,D,0,1
337,2025-04-28,Udinese,Bologna,0,0,D,0,0
338,2025-04-28,Lazio,Parma,2,2,D,0,2
339,2025-04-28,Verona,Cagliari,0,2,A,0,0
340,2025-05-02,Torino,Venezia,1,1,D,0,1
341,2025-05-03,Cagliari,Udinese,1,2,A,1,0
342,2025-05-03,Parma,Como,0,1,A,0,0
343,2025-05-03,Lecce,Napoli,0,1,A,0,0
344,2025-05-03,Inter,Verona,1,0,H,1,0
345,2025-05-04,Empoli,Lazio,0,1,A,0,0
346,2025-05-04,Monza,Atalanta,0,4,A,0,0
347,2025-05-04,AS Roma,Fiorentina,1,0,H,1,0
348,2025-05-04,Bologna,Juventus,1,1,D,0,1
349,2025-05-05,Genoa,AC Milan,1,2,A,0,1
350,2025-05-09,AC Milan,Bologna,3,1,H,0,3
351,2025-05-10,Como,Cagliari,3,1,H,2,1
352,2025-05-10,Lazio,Juventus,1,1,D,0,1
353,2025-05-10,Empoli,Parma,2,1,H,1,1
